NIP,P6_1_01,P6_1_02,P6_1_03,P6_1_04,P6_1_05,P6_1_06,P6_1_07,P6_1_08,P6_1_09,P6_1_10,P6_2_1,P6_3A_1,P6_3B_1,P6_3C_1,P6_3D_1,P6_2_2,P6_3A_2,P6_3B_2,P6_3C_2,P6_3D_2,P6_2_3,P6_3A_3,P6_3B_3,P6_3C_3,P6_3D_3,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_5_1,P6_5_2,P6_5_3,P6_5_4,P6_5_5,P6_6_1,P6_6_2,P6_6_3,P6_6_4,P6_6_5,P6_6_6,P6_6_7,P6_6_8,P6_6_9
3810,1,2,2,2,1,2,2,2,2,2,3,2,3,4,2,,,,,,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,1,2,2,2
3945,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,3,2,3,4,4,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
3990,1,1,2,2,2,2,2,2,2,2,2,1,3,4,4,3,1,3,4,4,,,,,,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2
4021,1,2,2,2,2,2,2,2,2,2,3,1,3,4,4,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2
4123,1,2,2,2,2,2,2,2,2,2,3,2,4,2,3,,,,,,,,,,,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2
4162,1,1,2,2,2,2,2,2,2,2,2,1,1,3,1,3,2,2,2,3,,,,,,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2
4167,1,2,2,2,2,2,2,2,2,2,3,2,3,3,4,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
4201,1,2,1,2,2,2,2,2,2,2,2,1,1,2,4,,,,,,3,1,3,1,4,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2
4206,1,1,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,2,2,4,,,,,,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2
4288,1,1,2,2,2,2,2,2,2,2,2,1,2,2,4,2,1,2,2,4,,,,,,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
4310,1,1,2,2,2,2,2,2,2,2,1,1,1,4,4,1,1,1,4,4,,,,,,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2
4318,1,1,2,2,2,2,2,2,2,2,3,1,1,3,3,3,1,5,5,5,,,,,,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2
4343,1,1,2,2,2,2,2,2,2,2,1,1,2,3,4,1,2,3,4,4,,,,,,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1
4345,1,2,2,2,2,1,2,2,2,2,3,1,3,1,4,,,,,,2,1,2,1,3,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2
4357,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,,,,,,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2
4361,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,4,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
